date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,,0.0,0,
2020-02-16,0,,0.0,0,
2020-02-17,0,,0.0,0,
2020-02-18,0,,0.0,0,
2020-02-19,0,,0.0,0,
2020-02-20,0,,0.0,0,
2020-02-21,0,,0.0,0,
2020-02-22,0,,0.0,0,
2020-02-23,0,,0.0,0,
2020-02-24,0,,0.0,0,
2020-02-25,0,,0.0,0,
2020-02-26,0,,0.0,0,
2020-02-27,0,,0.0,0,
2020-02-28,0,,0.0,0,
2020-02-29,0,,0.0,0,
2020-03-01,0,,0.0,0,
2020-03-02,0,,0.0,0,
2020-03-03,0,,0.0,0,
2020-03-04,0,,0.0,0,
2020-03-05,0,,0.0,0,
2020-03-06,0,,0.0,0,
2020-03-07,0,,0.0,0,
2020-03-08,3,,3.0,0,
2020-03-09,3,0.0,3.0,0,
2020-03-10,3,0.0,3.0,0,
2020-03-11,3,0.0,3.0,0,
2020-03-12,3,0.0,3.0,0,
2020-03-13,3,0.0,2.0,0,
2020-03-14,5,2.0,3.0,0,
2020-03-15,5,0.0,3.0,0,
2020-03-16,8,3.0,5.0,0,
2020-03-17,10,2.0,7.0,0,
2020-03-18,14,4.0,10.0,1,
2020-03-19,18,4.0,14.0,1,0.0
2020-03-20,20,2.0,16.0,1,0.0
2020-03-21,24,4.0,19.0,2,1.0
2020-03-22,27,3.0,22.0,2,0.0
2020-03-23,33,6.0,25.0,3,1.0
2020-03-24,39,6.0,30.0,4,1.0
2020-03-25,39,0.0,27.0,5,1.0
2020-03-26,44,5.0,28.0,5,0.0
2020-03-27,48,4.0,32.0,5,0.0
2020-03-28,48,0.0,28.0,5,0.0
2020-03-29,48,0.0,28.0,5,0.0
2020-03-30,49,1.0,25.0,5,0.0
2020-03-31,51,2.0,21.0,5,0.0
2020-04-01,54,3.0,23.0,6,1.0
2020-04-02,56,2.0,25.0,6,0.0
2020-04-03,61,5.0,29.0,6,0.0
2020-04-04,70,9.0,32.0,8,2.0
2020-04-05,88,18.0,46.0,9,1.0
2020-04-06,123,35.0,78.0,12,3.0
2020-04-07,164,41.0,114.0,17,5.0
2020-04-08,218,54.0,165.0,20,3.0
2020-04-09,330,112.0,276.0,21,1.0
2020-04-10,424,94.0,364.0,27,6.0
2020-04-11,482,58.0,416.0,30,3.0
2020-04-12,621,139.0,548.0,34,4.0
2020-04-13,803,182.0,722.0,39,5.0
2020-04-14,1012,209.0,924.0,46,7.0
2020-04-15,1231,219.0,1132.0,50,4.0
2020-04-16,1572,341.0,1463.0,60,10.0
2020-04-17,1838,266.0,1705.0,75,15.0
2020-04-18,2144,306.0,1994.0,84,9.0
2020-04-19,2456,312.0,2290.0,91,7.0
2020-04-20,2948,492.0,2762.0,101,10.0
2020-04-21,3382,434.0,3185.0,110,9.0
2020-04-22,3772,390.0,3560.0,120,10.0
2020-04-23,4186,414.0,3951.0,127,7.0
2020-04-24,4689,503.0,4446.0,131,4.0
2020-04-25,4998,309.0,4745.0,140,9.0
2020-04-26,5416,418.0,5149.0,145,5.0
2020-04-27,5913,497.0,5630.0,152,7.0
2020-04-28,6462,549.0,6168.0,155,3.0
2020-04-29,7103,641.0,6790.0,163,8.0
2020-04-30,7667,564.0,7339.0,168,5.0
2020-05-01,8238,571.0,7894.0,170,2.0
2020-05-02,8790,552.0,8438.0,175,5.0
2020-05-03,9455,665.0,8215.0,177,2.0
2020-05-04,10143,688.0,8752.0,182,5.0
2020-05-05,10929,786.0,9343.0,183,1.0
2020-05-06,11719,790.0,10130.0,186,3.0
2020-05-07,12425,706.0,10316.0,199,13.0
2020-05-08,13134,709.0,10827.0,206,7.0
2020-05-09,13770,636.0,11142.0,214,8.0
2020-05-10,14657,887.0,11779.0,228,14.0
2020-05-11,15691,1034.0,12550.0,239,11.0
2020-05-12,16660,969.0,13263.0,250,11.0
2020-05-13,17822,1162.0,14192.0,269,19.0
2020-05-14,18863,1041.0,14977.0,283,14.0
2020-05-15,20065,1202.0,15885.0,298,15.0
2020-05-16,20995,930.0,16564.0,314,16.0
2020-05-17,22268,1273.0,17567.0,328,14.0
2020-05-18,23870,1602.0,18936.0,349,21.0
2020-05-19,25121,1251.0,19758.0,370,21.0
2020-05-20,26738,1617.0,21145.0,386,16.0
2020-05-21,28511,1773.0,22501.0,408,22.0
2020-05-22,30205,1694.0,23583.0,432,24.0
2020-05-23,32078,1873.0,25140.0,452,20.0
2020-05-24,33610,1532.0,26229.0,480,28.0
2020-05-25,35585,1975.0,27750.0,501,21.0
2020-05-26,36751,1166.0,28650.0,522,21.0
2020-05-27,38292,1541.0,29823.0,544,22.0
2020-05-28,40321,2029.0,31337.0,559,15.0
2020-05-29,42844,2523.0,33247.0,582,23.0
2020-05-30,44608,1764.0,34623.0,610,28.0
2020-05-31,47153,2545.0,36722.0,650,40.0
2020-06-01,49534,2381.0,38265.0,672,22.0
2020-06-02,52445,2911.0,40616.0,709,37.0
2020-06-03,55140,2695.0,42804.0,746,37.0
2020-06-04,57563,2423.0,45227.0,781,35.0
