date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,1,,1.0,0,
2020-02-16,1,0.0,1.0,0,
2020-02-17,1,0.0,1.0,0,
2020-02-18,1,0.0,1.0,0,
2020-02-19,1,0.0,1.0,0,
2020-02-20,1,0.0,1.0,0,0.0
2020-02-21,1,0.0,1.0,0,0.0
2020-02-22,1,0.0,1.0,0,0.0
2020-02-23,1,0.0,1.0,0,0.0
2020-02-24,1,0.0,1.0,0,0.0
2020-02-25,1,0.0,1.0,0,0.0
2020-02-26,2,1.0,2.0,0,0.0
2020-02-27,7,5.0,7.0,0,0.0
2020-02-28,11,4.0,11.0,0,0.0
2020-02-29,13,2.0,13.0,0,0.0
2020-03-01,14,1.0,14.0,0,0.0
2020-03-02,15,1.0,15.0,0,0.0
2020-03-03,30,15.0,29.0,0,0.0
2020-03-04,52,22.0,51.0,0,0.0
2020-03-05,94,42.0,93.0,0,0.0
2020-03-06,137,43.0,136.0,0,0.0
2020-03-07,161,24.0,160.0,0,0.0
2020-03-08,203,42.0,202.0,0,0.0
2020-03-09,260,57.0,259.0,0,0.0
2020-03-10,355,95.0,354.0,0,0.0
2020-03-11,500,145.0,498.0,1,1.0
2020-03-12,687,187.0,685.0,1,0.0
2020-03-13,814,127.0,812.0,1,0.0
2020-03-14,961,147.0,958.0,2,1.0
2020-03-15,1040,79.0,1036.0,3,1.0
2020-03-16,1121,81.0,1113.0,7,4.0
2020-03-17,1196,75.0,1187.0,8,1.0
2020-03-18,1301,105.0,1276.0,10,2.0
2020-03-19,1439,138.0,1412.0,11,1.0
2020-03-20,1639,200.0,1607.0,16,5.0
2020-03-21,1770,131.0,1734.0,20,4.0
2020-03-22,1934,164.0,1897.0,21,1.0
2020-03-23,2046,112.0,2003.0,27,6.0
2020-03-24,2299,253.0,2243.0,40,13.0
2020-03-25,2526,227.0,2448.0,62,22.0
2020-03-26,2840,314.0,2747.0,77,15.0
2020-03-27,3069,229.0,2948.0,105,28.0
2020-03-28,3447,378.0,3326.0,105,0.0
2020-03-29,3700,253.0,3574.0,110,5.0
2020-03-30,4028,328.0,3866.0,146,36.0
2020-03-31,4435,407.0,4239.0,180,34.0
2020-04-01,4947,512.0,4605.0,239,59.0
2020-04-02,5568,621.0,5157.0,308,69.0
2020-04-03,6131,563.0,5568.0,358,50.0
2020-04-04,6443,312.0,5865.0,373,15.0
2020-04-05,6830,387.0,6224.0,401,28.0
2020-04-06,7206,376.0,6524.0,477,76.0
2020-04-07,7693,487.0,6897.0,591,114.0
2020-04-08,8419,726.0,7527.0,687,96.0
2020-04-09,9141,722.0,8143.0,793,106.0
2020-04-10,9685,544.0,8434.0,870,77.0
2020-04-11,10151,466.0,8883.0,887,17.0
2020-04-12,10483,332.0,9203.0,899,12.0
2020-04-13,10948,465.0,9648.0,919,20.0
2020-04-14,11445,497.0,10031.0,1033,114.0
2020-04-15,11927,482.0,10343.0,1203,170.0
2020-04-16,12540,613.0,10657.0,1333,130.0
2020-04-17,13216,676.0,11266.0,1400,67.0
2020-04-18,13822,606.0,11761.0,1511,111.0
2020-04-19,14385,563.0,12295.0,1540,29.0
2020-04-20,14777,392.0,12647.0,1580,40.0
2020-04-21,15322,545.0,13007.0,1765,185.0
2020-04-22,16004,682.0,13517.0,1937,172.0
2020-04-23,16755,751.0,14184.0,2021,84.0
2020-04-24,17567,812.0,14865.0,2152,131.0
2020-04-25,18177,610.0,14980.0,2192,40.0
2020-04-26,18640,463.0,15441.0,2194,2.0
2020-04-27,18926,286.0,15647.0,2274,80.0
2020-04-28,19621,695.0,16261.0,2355,81.0
2020-04-29,20302,681.0,16835.0,2462,107.0
2020-04-30,21092,790.0,17501.0,2586,124.0
2020-05-01,21520,428.0,17862.0,2653,67.0
2020-05-02,22082,562.0,18408.0,2669,16.0
2020-05-03,22317,235.0,18633.0,2679,10.0
2020-05-04,22721,404.0,15878.0,2769,90.0
2020-05-05,23216,495.0,16288.0,2854,85.0
2020-05-06,23918,702.0,16903.0,2941,87.0
2020-05-07,24623,705.0,16612.0,3040,99.0
2020-05-08,25265,642.0,17119.0,3175,135.0
2020-05-09,25921,656.0,17730.0,3220,45.0
2020-05-10,26322,401.0,18126.0,3225,5.0
2020-05-11,26670,348.0,18443.0,3256,31.0
2020-05-12,27272,602.0,18988.0,3313,57.0
2020-05-13,27909,637.0,19478.0,3460,147.0
2020-05-14,28582,673.0,20082.0,3529,69.0
2020-05-15,29207,625.0,20590.0,3646,117.0
2020-05-16,29677,470.0,21032.0,3674,28.0
2020-05-17,30143,466.0,21493.0,3679,5.0
2020-05-18,30377,234.0,21708.0,3698,19.0
2020-05-19,30799,422.0,22085.0,3743,45.0
2020-05-20,31523,724.0,22721.0,3831,88.0
2020-05-21,32172,649.0,23330.0,3871,40.0
2020-05-22,32809,637.0,23913.0,3925,54.0
2020-05-23,33188,379.0,24225.0,3992,67.0
2020-05-24,33459,271.0,24490.0,3998,6.0
2020-05-25,33843,384.0,24843.0,4029,31.0
2020-05-26,34440,597.0,25344.0,4125,96.0
2020-05-27,35088,648.0,25897.0,4220,95.0
2020-05-28,35727,639.0,26490.0,4266,46.0
2020-05-29,36476,749.0,27155.0,4350,84.0
2020-05-30,37113,637.0,27747.0,4395,45.0
2020-05-31,37542,429.0,28176.0,4395,0.0
2020-06-01,37814,272.0,28440.0,4403,8.0
2020-06-03,40028,2214.0,30515.0,4477,74.0
