date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,2,null,0,0,null
2020-02-16,2,0,0,0,null
2020-02-17,2,0,0,0,null
2020-02-18,2,0,0,0,null
2020-02-19,2,0,0,0,null
2020-02-20,2,0,0,0,0
2020-02-21,2,0,0,0,0
2020-02-22,2,0,0,0,0
2020-02-23,2,0,0,0,0
2020-02-24,2,0,0,0,0
2020-02-25,2,0,0,0,0
2020-02-26,2,0,0,0,0
2020-02-27,2,0,0,0,0
2020-02-28,2,0,0,0,0
2020-02-29,2,0,0,0,0
2020-03-01,2,0,0,0,0
2020-03-02,3,1,1,0,0
2020-03-03,3,0,1,0,0
2020-03-04,3,0,1,0,0
2020-03-05,7,4,5,0,0
2020-03-06,13,6,11,0,0
2020-03-07,14,1,11,0,0
2020-03-08,17,3,14,0,0
2020-03-09,20,3,17,0,0
2020-03-10,20,0,17,0,0
2020-03-11,28,8,25,0,0
2020-03-12,34,6,31,0,0
2020-03-13,45,11,37,0,0
2020-03-14,59,14,51,0,0
2020-03-15,63,4,55,0,0
2020-03-16,93,30,85,0,0
2020-03-17,114,21,106,0,0
2020-03-18,147,33,139,0,0
2020-03-19,199,52,190,1,1
2020-03-20,253,54,240,1,0
2020-03-21,306,53,289,1,0
2020-03-22,367,61,350,1,0
2020-03-23,438,71,420,1,0
2020-03-24,495,57,472,1,0
2020-03-25,658,163,626,3,2
2020-03-26,840,182,799,3,0
2020-03-27,1036,196,987,4,1
2020-03-28,1264,228,1211,4,0
2020-03-29,1534,270,1462,8,4
2020-03-30,1836,302,1761,9,1
2020-03-31,2337,501,2199,17,8
2020-04-01,2777,440,2563,24,7
2020-04-02,3548,771,3283,30,6
2020-04-03,4149,601,3834,34,4
2020-04-04,4731,582,4355,43,9
2020-04-05,5389,658,4989,45,2
2020-04-06,6343,954,5890,47,2
2020-04-07,7497,1154,6945,58,11
2020-04-08,8672,1175,8029,63,5
2020-04-09,10131,1459,9357,76,13
2020-04-10,11917,1786,11028,94,18
2020-04-11,13584,1667,12433,106,12
2020-04-12,15770,2186,14349,130,24
2020-04-13,18328,2558,16710,148,18
2020-04-14,21102,2774,19238,170,22
2020-04-15,24490,3388,22306,198,28
2020-04-16,27938,3448,25402,232,34
2020-04-17,32008,4070,29145,273,41
2020-04-18,36793,4785,33423,313,40
2020-04-19,42853,6060,39201,361,48
2020-04-20,47121,4268,43270,405,44
2020-04-21,52763,5642,48434,456,51
2020-04-22,57999,5236,53066,513,57
2020-04-23,62773,4774,57327,555,42
2020-04-24,68622,5849,62439,615,60
2020-04-25,74588,5966,67657,681,66
2020-04-26,80949,6361,73435,747,66
2020-04-27,87147,6198,79007,794,47
2020-04-28,93558,6411,84235,867,73
2020-04-29,99399,5841,88141,972,105
2020-04-30,106498,7099,93806,1073,101
2020-05-01,114431,7933,100042,1169,96
2020-05-02,124054,9623,107819,1222,53
2020-05-03,134687,10633,116768,1280,58
2020-05-04,145268,10581,125817,1356,76
2020-05-05,155370,10102,134054,1451,95
2020-05-06,165929,10559,143065,1537,86
2020-05-07,177160,11231,151732,1625,88
2020-05-08,187859,10699,159528,1723,98
2020-05-09,198676,10817,164933,1827,104
2020-05-10,209688,11012,173467,1915,88
2020-05-11,221344,11656,179534,2009,94
2020-05-12,232243,10899,186615,2116,107
2020-05-13,242271,10028,192056,2212,96
2020-05-14,252245,9974,196410,2305,93
2020-05-15,262843,10598,202199,2418,113
2020-05-16,272043,9200,206340,2537,119
2020-05-17,281752,9709,211748,2631,94
2020-05-18,290678,8926,217747,2722,91
2020-05-19,299941,9263,220974,2837,115
2020-05-20,308705,8764,220341,2972,135
2020-05-21,317554,8849,221774,3099,127
2020-05-22,326448,8894,223374,3249,150
2020-05-23,335882,9434,224558,3388,139
2020-05-24,344481,8599,227641,3541,153
2020-05-25,353427,8946,230996,3633,92
2020-05-26,362342,8915,227406,3807,174
2020-05-27,370680,8338,224504,3968,161
2020-05-28,379051,8371,223916,4142,174
2020-05-29,387623,8572,223992,4374,232
2020-05-30,396575,8952,224551,4555,181
2020-05-31,405843,9268,229267,4693,138
2020-06-01,414878,9035,234146,4855,162
2020-06-02,423741,8863,231719,5037,182
2020-06-03,432277,8536,231105,5215,178
2020-06-04,441108,8831,231101,5384,169
2020-06-05,449834,8726,231626,5528,144
