date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,3,null,0,0,null
2020-02-16,3,0,0,0,null
2020-02-17,3,0,0,0,null
2020-02-18,3,0,0,0,null
2020-02-19,3,0,0,0,null
2020-02-20,3,0,0,0,0
2020-02-21,3,0,0,0,0
2020-02-22,3,0,0,0,0
2020-02-23,3,0,0,0,0
2020-02-24,3,0,0,0,0
2020-02-25,3,0,0,0,0
2020-02-26,3,0,0,0,0
2020-02-27,3,0,0,0,0
2020-02-28,3,0,0,0,0
2020-02-29,3,0,0,0,0
2020-03-01,3,0,0,0,0
2020-03-02,6,3,3,0,0
2020-03-03,7,1,4,0,0
2020-03-04,29,22,26,0,0
2020-03-05,30,1,27,0,0
2020-03-06,31,1,28,0,0
2020-03-07,34,3,31,0,0
2020-03-08,40,6,37,0,0
2020-03-09,47,7,43,0,0
2020-03-10,62,15,58,0,0
2020-03-11,62,0,58,0,0
2020-03-12,74,12,69,1,1
2020-03-13,82,8,70,2,1
2020-03-14,100,18,88,2,0
2020-03-15,114,14,99,2,0
2020-03-16,129,15,114,2,0
2020-03-17,143,14,126,3,1
2020-03-18,169,26,152,3,0
2020-03-19,194,25,170,4,1
2020-03-20,249,55,221,5,1
2020-03-21,332,83,304,5,0
2020-03-22,396,64,365,7,2
2020-03-23,499,103,455,10,3
2020-03-24,536,37,486,10,0
2020-03-25,657,121,602,12,2
2020-03-26,727,70,662,20,8
2020-03-27,887,160,794,20,0
2020-03-28,987,100,879,24,4
2020-03-29,1024,37,902,27,3
2020-03-30,1251,227,1117,32,5
2020-03-31,1397,146,1239,35,3
2020-04-01,1998,601,1792,58,23
2020-04-02,2543,545,2280,72,14
2020-04-03,3059,516,2781,86,14
2020-04-04,3588,529,3260,99,13
2020-04-05,4289,701,3843,118,19
2020-04-06,4778,489,4267,136,18
2020-04-07,5351,573,4723,160,24
2020-04-08,5916,565,5232,178,18
2020-04-09,6725,809,5863,227,49
2020-04-10,7600,875,6577,249,22
2020-04-11,8446,846,7189,288,39
2020-04-12,9205,759,7794,331,43
2020-04-13,10453,1248,8914,358,27
2020-04-14,11487,1034,9735,393,35
2020-04-15,12370,883,10440,422,29
2020-04-16,13430,1060,11214,448,26
2020-04-17,14352,922,11825,486,38
2020-04-18,16365,2013,13381,521,35
2020-04-19,17615,1250,14202,559,38
2020-04-20,18539,924,14674,592,33
2020-04-21,20080,1541,15460,645,53
2020-04-22,21370,1290,16319,681,36
2020-04-23,23039,1669,17306,721,40
2020-04-24,24447,1408,18171,780,59
2020-04-25,26283,1836,19519,825,45
2020-04-26,27890,1607,20486,881,56
2020-04-27,29451,1561,21375,939,58
2020-04-28,31324,1873,22569,1008,69
2020-04-29,33062,1738,23546,1079,71
2020-04-30,34863,1801,24641,1154,75
2020-05-01,37257,2394,26027,1223,69
2020-05-02,39699,2442,27557,1323,100
2020-05-03,42505,2806,29339,1391,68
2020-05-04,46437,3932,32024,1566,175
2020-05-05,49400,2963,33565,1693,127
2020-05-06,52987,3587,35871,1785,92
2020-05-07,56351,3364,37686,1889,104
2020-05-08,59695,3344,39823,1985,96
2020-05-09,62808,3113,41406,2101,116
2020-05-10,67161,4353,43980,2212,111
2020-05-11,70768,3607,45925,2294,82
2020-05-12,74292,3524,47457,2415,121
2020-05-13,78055,3763,49104,2551,136
2020-05-14,81997,3942,51379,2649,98
2020-05-15,85784,3787,52773,2753,104
2020-05-16,90648,4864,53553,2871,118
2020-05-17,95698,5050,55878,3025,154
2020-05-18,100328,4630,57939,3156,131
2020-05-19,106475,6147,60864,3302,146
2020-05-20,112028,5553,63172,3434,132
2020-05-21,118226,6198,66089,3584,150
2020-05-22,124794,6568,69244,3726,142
2020-05-23,131423,6629,73170,3868,142
2020-05-24,138536,7113,76820,4024,156
2020-05-25,144950,6414,80072,4172,148
2020-05-26,150793,5843,82172,4344,172
2020-05-27,158086,7293,85803,4534,190
2020-05-28,165386,7300,89755,4711,177
2020-05-29,173491,8105,85884,4980,269
2020-05-30,181827,8336,89706,5185,205
2020-05-31,190609,8782,93349,5408,223
2020-06-01,198370,7761,97008,5608,200
2020-06-02,207191,8821,101077,5829,221
2020-06-03,216824,9633,106665,6088,259
2020-06-04,226713,9889,111900,6363,275
